Category,Article,Author,Comment,Processed_Comment,Sentiment
24 ساعة,"""بنك فلسطين"" يتعرض للنهب بقطاع غزة",مجاهد,لا توجد حرب بين حماس وجيش الاحتلال الصهيوني انما توجد ابادة جماعية لسكان غزة على يد الاحتلال الصهيوني بمساعدة امريكا ودول الغرب وبعض حكام العرب.,توجد حرب حماس وجيش الاحتلال الصهيوني انما توجد اباده جماعيه لسكان غزه يد الاحتلال الصهيوني بمساعده امريكا ودول الغرب وبعض حكام العرب,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",من أسول,سكان جماعة أسول بإقليم تنغير ينتظرون هاته التحقيقات بفارغ الصبر !!,سكان جماعه اسول باقليم تنغير ينتظرون هاته التحقيقات بفارغ الصبر,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",Mouloud,في 1996 في جماعة عين الشق كاين طلبة أبناء مسؤولين مسجلين كموظفين,جماعه عين الشق كاين طلبه ابناء مسوولين مسجلين كموظفين,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",محمد صلاح الدين,علاش حاكرين غير على المنتخبين,حاكرين غير المنتخبين,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",الله غالب,ذالك كله عادي لأننا عهدناه في كل جماعات المغرب كل رئيس جماعة أو بلدية لديه اكثر من خمسون بما يسمى كرطية انعاش وهذا ليس بالجديد ولا بالغريب والحمد لله الذي جعل من ضمير البعض منهم تصحى اليوم . لانه من يوم وجد الإنعاش في المغرب وهم على هذا النحو لم يتغير في ذالك شيء .والله غالب,ذالك كله عادي لاننا عهدناه جماعات المغرب رييس جماعه او بلديه لديه اكثر خمسون بما يسمي كرطيه انعاش وهذا ليس بالجديد ولا بالغريب والحمد لله جعل ضمير البعض منهم تصحي اليوم لانه يوم وجد الانعاش المغرب وهم النحو يتغير ذالك شيء والله غالب,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",نداء,نداء إلى السيد الوالي ..الدار البيضاء في حاجة مستعجلة إلى أمرين,نداء الي السيد الوالي الدار البيضاء حاجه مستعجله الي امرين,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",معلق,الكبار كلاو الميزانيات على عينك ابن عدي ماذا ينتظر الآخرون.,الكبار كلاو الميزانيات عينك ابن عدي ماذا ينتظر الاخرون,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",غيور على الوطن,انه الفساد ونهب وسرقة المال العام المستشري داخل الادارات العمومية والجماعتات الترابية والمؤسسات العمومية الذي اصبح مالوفا وليس استثناءيا الممارس من طرف المسؤولين والمنتخبين بدون حسيب ولارقيب ،كل هذا على حساب افراد الشعب وخصوصا الطبقتين المقهورتين الفقيرة والمتوسطة منه,انه الفساد ونهب وسرقه المال العام المستشري داخل الادارات العموميه والجماعتات الترابيه والموسسات العموميه اصبح مالوفا وليس استثناءيا الممارس طرف المسوولين والمنتخبين بدون حسيب ولارقيب حساب افراد الشعب وخصوصا الطبقتين المقهورتين الفقيره والمتوسطه منه,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",كماشي,تحقيقات تطال جماعات بسبب اختلالات “عمال الإنعاش” وتشغيل زوجات منتخبين,تحقيقات تطال جماعات بسبب اختلالات عمال الانعاش وتشغيل زوجات منتخبين,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",بوهالي,السلام عليكم السيد الوالي المحترم,السلام عليكم السيد الوالي المحترم,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",متتبع عن بعد,ننتظر بفارغ الصبر فتح تحقيقات معمقة بشأن الإختلالات التي تطال حقوق أصحاب الإنعاش بمدينة أگادير و الحيف و الظلم الذي يتعرضون له. كيف ونحن في 2023 ومازالوا يتقاضون 2000 درهم شهريا علاوة على الإشتغال دون تغطية صحية فمنهم من إشتغل أكثر من سبع سنوات دون تسوية وضعيته,ننتظر بفارغ الصبر فتح تحقيقات معمقه بشان الاختلالات تطال حقوق اصحاب الانعاش بمدينه اگادير الحيف الظلم يتعرضون له ونحن ومازالوا يتقاضون درهم شهريا علاوه الاشتغال دون تغطيه صحيه فمنهم اشتغل اكثر سبع سنوات دون تسويه وضعيته,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",Driss,وما خفي اعظم. اتظنون انهم يتهاوشون ويتسابقون في الانتخابات من اجل خدنة اامواطنين وخدمة الوطن هيهات هيهات بل من اجل نهش الاموال ااعامة والاغتناء السريع. والمصالح الخاصة وتوظيف الاقارب والمعارف يجب. فسخ الاحزاب والجمعيات المترزقة,وما خفي اعظم اتظنون انهم يتهاوشون ويتسابقون الانتخابات اجل خدنه اامواطنين وخدمه الوطن هيهات هيهات بل اجل نهش الاموال ااعامه والاغتناء السريع والمصالح الخاصه وتوظيف الاقارب والمعارف يجب فسخ الاحزاب والجمعيات المترزقه,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مغربي نزيه,اللهم أكثر من أمثال هذا المسؤول الوطني النزيه،و خيب رجاء من من يستغل منصبه ليوظف اهل القرابة بدون وجه حق.الفساد فرملة كل تقدم.,اللهم اكثر امثال المسوول الوطني النزيهو خيب رجاء يستغل منصبه ليوظف اهل القرابه بدون وجه حقالفساد فرمله تقدم,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",ahmed,هذا الملف معروف لدى جميع الجماعات ومعروف كذلك بأن ضغط العمل على موظفي الجماعات يدفع الجماعات ورؤسائها ومنتخبيها باقتراح من لدن مديري المصالح ورؤساء المصالح بتوظيف عمال الإنعاش لتخفيف من الضغط ولتسريع الملفات لكن سرعام ما يتحول هؤلاء الإنعاشيين الى طالبي معاشات يومية يزايدون على المواطنين لكي يسرعوا لهم ملفاتهم مع الموظفيين الحقيقين لان فيها ما فيها,الملف معروف لدي جميع الجماعات ومعروف كذلك بان ضغط العمل موظفي الجماعات يدفع الجماعات وروسايها ومنتخبيها باقتراح لدن مديري المصالح وروساء المصالح بتوظيف عمال الانعاش لتخفيف الضغط ولتسريع الملفات سرعام يتحول هولاء الانعاشيين الي طالبي معاشات يوميه يزايدون المواطنين لكي يسرعوا لهم ملفاتهم الموظفيين الحقيقين لان فيها فيها,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مغربي,نحن نعمل جميعا ان ورشات اوراش تشبه اوراش برامج الإنعاش الوطني سابقا ، كتنظيف للشوارع و صباغة الأرصفة و اعمال يدوية للعناية بالمغروسات الى غير ذلك من الأعمال اليدوية … فهل يمكننا تصور زوجة منتخب بمكنسة في الشارع العام ؟ هي إذن موظفة ( عاملة اوراش ) شبح ..,نعمل جميعا ان ورشات اوراش تشبه اوراش برامج الانعاش الوطني سابقا كتنظيف للشوارع صباغه الارصفه اعمال يدويه للعنايه بالمغروسات الي غير ذلك الاعمال اليدويه فهل يمكننا تصور زوجه منتخب بمكنسه الشارع العام هي اذن موظفه عامله اوراش شبح,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مغربي,اختلالات تشغيل الأعوان العرضيين أو المؤقتين، المعروفين باسم “عمال الإنعاش”، بجماعات ترابية، تهم كل العمالات وعلى الجهات المركزية التحقيق في الأمر لأنها توظيفات تتم بولاءات غالبا و بطرق معروفة.,اختلالات تشغيل الاعوان العرضيين او الموقتين المعروفين باسم عمال الانعاش بجماعات ترابيه تهم العمالات وعلي الجهات المركزيه التحقيق الامر لانها توظيفات تتم بولاءات غالبا بطرق معروفه,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",ياسين فضولي,التحقيقات هل تتبعها عقوبات واسترداد للأموال التي كانت تصرف كرواتب أو عفى الله عما سلف,التحقيقات تتبعها عقوبات واسترداد للاموال كانت تصرف كرواتب او عفي الله عما سلف,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",kevan,علاه مكايناش كاع شي مراقبة دورية على هادشي من طرف وزارة الداخلية ؟ لاحول ولاقوة الا بالله العلي العظيم,علاه مكايناش كاع شي مراقبه دوريه هادشي طرف وزاره الداخليه لاحول ولاقوه الا بالله العلي العظيم,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",متتبع,تشكراتنا للسيد والي الدار البيضاء الكبرى على كل ما يقوم به. ونتمنى ان يسلك كل السادة ولاة الأقاليم المغربية نفس هذا النهج، خاصة بمدينة فاس التي أضحت روائح الفساد المستشري فيها تزكَ الأنوف.,تشكراتنا للسيد والي الدار البيضاء الكبري يقوم ونتمني ان يسلك الساده ولاه الاقاليم المغربيه نفس النهج خاصه بمدينه فاس اضحت روايح الفساد المستشري فيها تزك الانوف,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",الحقيقه,فيما مشيتي فالمغرب كتنقا على الاقل 6 عندهم نفس الاسم العائلي خدامين من بينهم الصندوق الضمان الاجتماعي ،صندوق التقاعد،البنوك ماتهضر عليهم، المكتب الشريف للفوسفاط خلاص وكولشي,فيما مشيتي فالمغرب كتنقا الاقل عندهم نفس الاسم العايلي خدامين بينهم الصندوق الضمان الاجتماعي صندوق التقاعدالبنوك ماتهضر عليهم المكتب الشريف للفوسفاط خلاص وكولشي,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",انا,يشغلون زوجاتهم وعائلاتهم غير باش يتخلصوا اما الخدمة ما كيمشيوش لها وهاذا جاري به العمل في كل مكان…,يشغلون زوجاتهم وعايلاتهم غير باش يتخلصوا اما الخدمه كيمشيوش لها وهاذا جاري العمل مكان,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",XXL,تحقيقات تطال جماعات بسبب اختلالات “عمال الإنعاش” ,تحقيقات تطال جماعات بسبب اختلالات عمال الانعاش,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مغربي في كندا,باقليم تاونات ، عمال الانعاش يشتغلون فقط لاصحاب مطاحن الزيت الزيتون . الم ياتي الوقت لهذا الاقليم ؟,باقليم تاونات عمال الانعاش يشتغلون فقط لاصحاب مطاحن الزيت الزيتون الم ياتي الوقت لهذا الاقليم,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مغربي متتبع,المال السايب تيعلم السرقة أو بالفصحى العربية اللصوصية هذا ما يؤكده المثل المغربي الشائع,المال السايب تيعلم السرقه او بالفصحي العربيه اللصوصيه يوكده المثل المغربي الشايع,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",Falcon,الدار البيضاء تحتاج لمائة مثل مهيدية أمام الوضع الكارثي الذي وصلت إليه العاصمة الاقتصادية، لن تحل المشاكل بهذه الوثيرة.,الدار البيضاء تحتاج لمايه مثل مهيديه امام الوضع الكارثي وصلت اليه العاصمه الاقتصاديه لن تحل المشاكل بهذه الوثيره,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",mohamedmouhssin,السلام عليكم إذا تطرق الوالي السيد امهيدية لما يعيشها عمال الإنعاش من ظلم له جزيل الشكر و التقدير,السلام عليكم اذا تطرق الوالي السيد امهيديه لما يعيشها عمال الانعاش ظلم له جزيل الشكر التقدير,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",السوسي,وماذا عن الموظفين الاشباح بان ليكم غير دراوش المياومين لاحول ولا قوة إلا بالله العلي العظيم.,وماذا الموظفين الاشباح بان ليكم غير دراوش المياومين لاحول ولا قوه الا بالله العلي العظيم,positif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",SANABI,والله اضحى العادي والبادي يتحدث عن فضائح منتخبينا في التدبير الا اخلاقي والمقرف لملف الانعاش وطرق استغلالهم للفقراء والمحتاجين.,والله اضحي العادي والبادي يتحدث فضايح منتخبينا التدبير الا اخلاقي والمقرف لملف الانعاش وطرق استغلالهم للفقراء والمحتاجين,negatif
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",ت.أ,سبحان الله كأنك تتحدث عن جماعة تمارة خصوصا مع هذه الولاية الانتخابية,سبحان الله كانك تتحدث جماعه تماره خصوصا الولايه الانتخابيه,neutral
مصدر مطلع,"تحقيقات تطال جماعات بسبب اختلالات ""عمال الإنعاش"" وتشغيل زوجات منتخبين",مواطن مغربي,ورش الانعاش هدا اصبح يستخدم لاهداف حزبية انتخابية والزبونية. ففي بعض الدوائر والجماعات نجد نفس الوجوه هي التي تشتغل على الدوام زد على الاشباح وما اكثرهم وكأن العاطلين الاخرين ليس لهم الحق في هدا الانعاش.,ورش الانعاش هدا اصبح يستخدم لاهداف حزبيه انتخابيه والزبونيه ففي بعض الدواير والجماعات نجد نفس الوجوه هي تشتغل الدوام زد الاشباح وما اكثرهم وكان العاطلين الاخرين ليس لهم الحق هدا الانعاش,positif
مصدر مطلع,تحرير قرار غرفة المشورة يؤخر تحديد جلسات محاكمة الناصري ومبديع,saadoune,سوف ينتهي هذا المسلسل كما انتهى مسلسل الطبيب التازي باحكام غريبة و عجيبة,سوف ينتهي المسلسل انتهي مسلسل الطبيب التازي باحكام غريبه عجيبه,neutral
مصدر مطلع,تحرير قرار غرفة المشورة يؤخر تحديد جلسات محاكمة الناصري ومبديع,مواطن مغربي,المتهم بريء حتى تثبت إدانته………..,المتهم بريء حتي تثبت ادانته,neutral
مصدر مطلع,تحرير قرار غرفة المشورة يؤخر تحديد جلسات محاكمة الناصري ومبديع,وجدة,وفي الاخير يطلع حكم برائة متل لي فاتو ماتجي غير في المسكين حيط قصير بحال المغني الشاب المعروف شر ررر كوبي أتاي علي كلمة ماشي مزينة ضربوه بي 4 سنوات ولي يأكلون أموال الشعب لا يحاسب,وفي الاخير يطلع حكم برايه متل فاتو ماتجي غير المسكين حيط قصير بحال المغني الشاب المعروف شر ررر كوبي اتاي كلمه ماشي مزينه ضربوه بي سنوات ولي ياكلون اموال الشعب يحاسب,positif
مصدر مطلع,تحرير قرار غرفة المشورة يؤخر تحديد جلسات محاكمة الناصري ومبديع,Mezabi,من حظ مبديع والناصيري والبعيوي انهم ليسوا نشطاء حقوقيين او إعلاميين انتقدوا ممارسات الفساد وقمع الحريات والا لكانت الأحكام قد حررت ضدهم في أول استدعاء للحضور,حظ مبديع والناصيري والبعيوي انهم ليسوا نشطاء حقوقيين او اعلاميين انتقدوا ممارسات الفساد وقمع الحريات والا لكانت الاحكام قد حررت ضدهم اول استدعاء للحضور,positif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,أستاذ,ارك عوتني 10درهم كيلو بطاطة 300 بصلة كيلو سير على الله,ارك عوتني درهم كيلو بطاطه بصله كيلو سير الله,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,كمال,اهلا وسهلا بالغلاء مجددا.,اهلا وسهلا بالغلاء مجددا,positif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,zahouri,بمعنى آخر ,بمعني اخر,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,مصطفى,رفع الحظر عن تصدير الخضر باش النواطن الضعيف ايشريها بدقة للنيف ودلك من اجل اغناء المصدرين الدين هم في الاصل اعنياء,رفع الحظر تصدير الخضر باش النواطن الضعيف ايشريها بدقه للنيف ودلك اجل اغناء المصدرين الدين الاصل اعنياء,negatif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,فؤاد,على الاقل حتى يمر العيد الاضحى بسلام …,الاقل حتي يمر العيد الاضحي بسلام,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,bohali,فهمت تسطى . المغرب يصدر البطاطس الى افريقيا . و المغرب يستورد بطاطس من مصر التي تعاني من مرض فيروس الكبد سي نتيجة سقي بالمياه الصرف الصحي . و مياه النهر النيل الذي بدوره كل مصر تصب فيه مياه الصرف الصحي . اتقو الله في مواطن,فهمت تسطي المغرب يصدر البطاطس الي افريقيا المغرب يستورد بطاطس مصر تعاني مرض فيروس الكبد سي نتيجه سقي بالمياه الصرف الصحي مياه النهر النيل بدوره مصر تصب فيه مياه الصرف الصحي اتقو الله مواطن,negatif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,منير,مقابل تلك الزياذة في الاجور ستقوم الحكومة بكل ما من شأنه القضاء نهائيا على القدرة الشرائية للمواطن.,مقابل تلك الزياذه الاجور ستقوم الحكومه بكل شانه القضاء نهاييا القدره الشراييه للمواطن,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,مواطن,انا ما فهمت والو بعدا واش الدوله كاتصدر الخضر الافريقيه واحنا مازال كاناكلوا البطاطا بسته درهم 7 دراهم,انا فهمت والو بعدا الدوله كاتصدر الخضر الافريقيه واحنا مازال كاناكلوا البطاطا بسته درهم دراهم,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,مواطن,الاكتفاء ثم الاكتفاء ثم الاكتفاء الذاتي,الاكتفاء ثم الاكتفاء ثم الاكتفاء الذاتي,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,الراي,خبر لا يطمئن ابدا الله يهدي هد السوؤلين علينا او سافي,خبر يطمين ابدا الله يهدي هد السوولين علينا او سافي,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,maghribi,السلعة النقية تمشي لتصدير و حنى نكلو القصدير هههه أصلاً البطاطس كدير السمنة و المسوؤلين يخافون على صحة المستهلك المغربي و شكراً,السلعه النقيه تمشي لتصدير حني نكلو القصدير هههه اصلا البطاطس كدير السمنه المسوولين يخافون صحه المستهلك المغربي شكرا,positif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,الله المستعان,الزيادة العامة في الأجور عندها ثمن، ولكن المواطن العادي يدفع الثمن أضعافا مضاعة.,الزياده العامه الاجور عندها ثمن ولكن المواطن العادي يدفع الثمن اضعافا مضاعه,positif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,العيدوني,زغرتي الالا هادشي غي گالو غنزيدوكم 1000درهم 500درهم هاد العام و 500درهم العام الجاي مازال البوطا تناديكم و تابعاتها المهم الله ايخرجنا من دار العيب بلا عيب,زغرتي الالا هادشي غي گالو غنزيدوكم درهم درهم العام درهم العام الجاي مازال البوطا تناديكم تابعاتها المهم الله ايخرجنا دار العيب بلا عيب,neutral
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,م. محمد,سترتفع الأسعار بالتاكيد … غي ما يجيش الناطق الرسمي بالحكومة و يعطي اسباب لا واقعية للغلاء بحال ,سترتفع الاسعار بالتاكيد غي يجيش الناطق الرسمي بالحكومه يعطي اسباب واقعيه للغلاء بحال,negatif
مصدر مطلع,قريبا .. المغرب يرفع الحظر عن تصدير البطاطس والبصل نحو إفريقيا,الرائد,وجدو راسكم يالمغاربة لي ارتفاع الساروخي في الخضرة بططة غاتولي عشرة درهم مطيشة 15 درهم البصل كذالك ومثال والفقراء الله يحسن عوانهم فين غدي يردو رأسهم هاذ الفقراء للكراء للماء والكهرباء والأمراض والمدرسة وغلاء المعيشة ولكن الشعب مريض بالسكتة والمسكوتة,وجدو راسكم يالمغاربه ارتفاع الساروخي الخضره بططه غاتولي عشره درهم مطيشه درهم البصل كذالك ومثال والفقراء الله يحسن عوانهم غدي يردو راسهم هاذ الفقراء للكراء للماء والكهرباء والامراض والمدرسه وغلاء المعيشه ولكن الشعب مريض بالسكته والمسكوته,negatif
